station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
SMA;01.01.2002 00:00;10.2;6.8;14.4;0.4;0.6;0.4;10;0.2;19;951.6;-0.5;9;2.2;105;1275.8;115;132;98;97229;96;3114.2;102;1354.2;139;-9.1;34.1;44;36;15;1;7;0
SMA;01.01.2003 00:00;10.1;6.1;14.8;0.3;-0.1;0.8;9.6;-0.2;22;952.9;0.8;9;2;95;859.2;78;146;108;122540;121;3400.3;345.9;1752.3;117;-10.4;36;94;85;28;1;27;1
SMA;01.01.2004 00:00;9.5;6;13.5;-0.3;-0.2;-0.5;9.5;-0.3;24;952.1;0;11;2.1;100;1071;97;136;101;98923;97;3324.6;103.8;1652.6;134;-8;29.9;87;41;15;0;0;0
SMA;01.01.2005 00:00;9.3;5.7;13.4;-0.5;-0.5;-0.6;9.7;-0.1;17;953;0.9;7;1.9;90;1041.9;94;137;102;105902;104;3482.4;134.5;1738.4;125;-14.1;32.7;92;43;38;1;9;0
SMA;01.01.2006 00:00;9.8;6.3;14;0;0.1;0;10;0.2;20;952.7;0.6;7;2;95;1134.5;102;133;99;101691;100;3291.3;192.7;1659.3;130;-8.6;33.1;85;51;28;1;16;0
SMA;01.01.2007 00:00;10.1;6.4;14.3;0.3;0.2;0.3;9.8;0;30;952.8;0.7;8;2.2;105;1152.9;104;139;103;107139;105;3104.5;93;1440.5;137;-8.4;33.2;56;37;18;0;2;0
SMA;01.01.2008 00:00;9.6;6.2;13.7;-0.2;0;-0.3;9.7;-0.1;14;951.7;-0.4;6;2.2;105;1212.7;109;134;99;100741;99;3381.5;111.7;1597.5;132;-7;30.8;78;36;11;0;3;0
SMA;01.01.2009 00:00;9.9;6.4;14;0.1;0.2;0;9.9;0.1;19;950.6;-1.5;6;2;95;1098.3;99;139;103;103533;102;3185.6;139.9;1625.6;132;-13.6;31.8;76;46;28;0;6;0
SMA;01.01.2010 00:00;8.8;5.5;12.7;-1;-0.7;-1.3;9.4;-0.4;13;949;-3.1;8;2;95;1001.5;90;129;96;91245;90;3662.9;141.4;1854.9;144;-11.3;32.7;88;41;41;0;9;0
SMA;01.01.2011 00:00;10.5;6.7;14.9;0.7;0.5;0.9;10;0.2;42;953.4;1.3;12;1.9;90;913.5;82;147;109;120253;118;2950.3;112.8;1382.3;110;-8.1;32.7;55;39;12;0;8;0
SMA;01.01.2012 00:00;9.7;6.1;13.9;-0.1;-0.1;-0.1;10;0.2;15;952.1;0;8;2;95;1291.7;117;138;102;108316;107;3320.5;129;1616.5;140;-16.9;32.4;67;42;24;0;6;0
SMA;01.01.2013 00:00;9.1;5.7;13;-0.7;-0.5;-1;9.6;-0.2;20;951.1;-1;15;2;95;1093.8;99;127;94;92418;91;3586;165.3;1818;131;-9.5;35.1;102;46;27;2;11;1
SMA;01.01.2014 00:00;10.6;7.1;14.8;0.8;0.9;0.8;10.3;0.5;17;950.6;-1.5;10;1.8;86;1076.4;97;135;100;102836;101;2783.9;73.5;1215.9;124;-11.8;33.4;28;26;4;0;5;0
SMA;01.01.2015 00:00;10.6;6.8;15;0.8;0.6;1;9.8;0;17;954.3;2.2;7;2;95;918;83;144;107;116754;115;3060.2;262.2;1420.2;109;-7.4;34.6;76;54;9;9;26;0
SMA;01.01.2016 00:00;9.9;6.5;14.1;0.1;0.3;0.1;10.1;0.3;35;952.6;0.5;11;2;95;1296.8;117;131;97;98497;97;3334.8;156.5;1566.8;133;-8.7;32.3;68;49;8;0;8;0
SMA;01.01.2017 00:00;10.2;6.5;14.6;0.4;0.3;0.6;9.8;0;13;953.5;1.4;6;2.1;100;1106.6;100;142;105;109694;108;3233.4;214.5;1553.4;133;-12.7;33;76;57;21;6;13;0
SMA;01.01.2018 00:00;11.1;7.3;15.5;1.3;1.1;1.5;10.1;0.3;25;951.2;-0.9;7;2.1;100;897.3;81;144;107;115276;113;2934.5;243.5;1422.5;108;-13.1;34.6;65;74;13;3;16;0
SMA;01.01.2019 00:00;10.5;6.7;14.9;0.7;0.5;0.9;9.9;0.1;18;951.7;-0.4;8;2.2;105;1041.2;94;143;106;112663;111;3111.7;209.4;1399.7;131;-5.7;34.7;59;53;8;4;15;0
SMA;01.01.2020 00:00;10.9;6.9;15.5;1.1;0.7;1.5;9.8;0;28;952.7;0.6;6;2.1;100;859.5;78;149;110;123357;121;2932.7;171.8;1308.7;110;-4.2;33.6;60;55;4;1;9;0
SMA;01.01.2021 00:00;9.6;6.1;13.8;-0.2;-0.1;-0.2;9.6;-0.2;15;952.5;0.4;8;2;95;1126.6;102;137;102;104046;102;3400.5;97.1;1592.5;137;-11.7;31.1;69;34;13;0;5;0
SMA;01.01.2022 00:00;11.5;7.6;16;1.7;1.4;2;10.2;0.4;17;953.6;1.5;7;2.1;100;871.9;79;155;115;128911;127;2775.6;254.9;1239.6;125;-7.7;34.7;60;74;6;3;16;0
SMA;01.01.2023 00:00;11.4;7.7;15.7;1.6;1.5;1.7;10.3;0.5;24;951.9;-0.2;7;2.2;105;1159.6;105;143;106;108738;107;2907.4;253.3;1275.4;135;-7.3;35.5;56;73;7;4;14;1
SMA;01.01.2024 00:00;11;7.7;15;1.2;1.5;1;10.8;1;18;952.1;0;7;1.9;90;1280.8;116;129;96;90470;89;2873.9;208.4;1265.9;147;-7.6;32.4;41;49;14;0;11;0
