station_abbr;reference_timestamp;ths200y0;ths2dyyn;ths2dyyx;th9120yv;th91dnyv;th91dxyv;pva2hsy0;pv9120yv;rhsdryyx;phsstay0;ph9120yv;rhs001yx;fhs010y0;fh9120yv;rhs150y0;rh9120yv;ghs000y0;gh9120yv;shs000y0;sh9120yv;xhs000y0;xhs00oy0;xhs012y0;rhs001y0;thl200yn;thl200yx;ths00ny0;ths25xy0;ths00xy0;ths20ny0;ths30xy0;ths35xy0
SMA;01.01.1908 00:00;7.5;3.6;11.9;-2.3;-2.6;-2.1;;;;;;;;;975.9;88;;;102856;101;;;;;;;;;;;;
SMA;01.01.1909 00:00;7.4;3.4;11.9;-2.4;-2.8;-2.1;;;;;;;;;1016.8;92;;;109881;108;;;;;;;;;;;;
SMA;01.01.1910 00:00;8;4.2;12.3;-1.8;-2;-1.7;;;;;;;;;1446.3;131;;;94230;93;;;;;;;;;;;;
SMA;01.01.1911 00:00;9;4.4;13.8;-0.8;-1.8;-0.2;;;;;;;;;728.5;66;;;124432;122;;;;;;;;;;;;
SMA;01.01.1912 00:00;7.8;3.8;12;-2;-2.4;-2;;;;;;;;;1150.9;104;;;93365;92;;;;;;;;;;;;
SMA;01.01.1913 00:00;8.3;4.5;12.7;-1.5;-1.7;-1.3;;;;;;;;;977.6;88;;;94101;93;;;;;;;;;;;;
SMA;01.01.1914 00:00;7.8;3.9;12.3;-2;-2.3;-1.7;;;;;;;;;1120.5;101;;;96378;95;;;;;;;;;;;;
SMA;01.01.1915 00:00;7.9;4.2;12.1;-1.9;-2;-1.9;;;;;;;;;1068.9;96;;;89468;88;;;;;;;;;;;;
SMA;01.01.1916 00:00;8.4;4.7;12.6;-1.4;-1.5;-1.4;;;;;;;;;1219.5;110;;;88262;87;;;;;;;;;;;;
SMA;01.01.1917 00:00;7.4;3.7;11.7;-2.4;-2.5;-2.3;;;;;;;;;1078.8;97;;;98264;97;;;;;;;;;;;;
SMA;01.01.1918 00:00;8.1;4.2;12.8;-1.7;-2;-1.2;;;;;;;;;999.5;90;;;102744;101;;;;;;;;;;;;
SMA;01.01.1919 00:00;7.6;3.7;12.2;-2.2;-2.5;-1.8;;;;;;;;;1032.1;93;;;102225;101;;;;;;;;;;;;
SMA;01.01.1920 00:00;8.6;4.8;13.4;-1.2;-1.4;-0.6;;;;;;;;;726.5;66;;;94559;93;;;;;;;;;;;;
SMA;01.01.1921 00:00;9;4.8;14.1;-0.8;-1.4;0.1;;;;;;;;;711;64;;;116407;115;;;;;;;;;;;;
SMA;01.01.1922 00:00;7.6;3.8;11.8;-2.2;-2.4;-2.2;;;;;;;;;1346.3;122;;;89810;88;;;;;;;;;;;;
SMA;01.01.1923 00:00;8.5;4.5;13;-1.3;-1.7;-1;;;;;;;;;1025.6;93;;;103202;102;;;;;;;;;;;;
SMA;01.01.1924 00:00;7.6;4;11.5;-2.2;-2.2;-2.5;;;;;;;;;980;88;;;87529;86;;;;;;;;;;;;
SMA;01.01.1925 00:00;8.1;4.3;12.4;-1.7;-1.9;-1.6;;;;;;;;;988.7;89;;;97068;95;;;;;;;;;;;;
SMA;01.01.1926 00:00;8.6;4.9;13.1;-1.2;-1.3;-0.9;;;;;;;;;967.4;87;;;97332;96;;;;;;;;;;;;
SMA;01.01.1927 00:00;8.3;4.6;12.6;-1.5;-1.6;-1.4;;;;;;;;;1180.2;107;;;100302;99;;;;;;;;;;;;
SMA;01.01.1928 00:00;9;5;13.4;-0.8;-1.2;-0.6;;;;;;;;;960.1;87;;;106190;104;;;;;;;;;;;;
SMA;01.01.1929 00:00;7.9;3.7;12.7;-1.9;-2.5;-1.3;;;;;;;;;915.3;83;;;110050;108;;;;;;;;;;;;
SMA;01.01.1930 00:00;8.8;5.2;13.2;-1;-1;-0.8;;;;;;;;;1310.2;118;;;91844;90;;;;;;;;;;;;
SMA;01.01.1931 00:00;7.4;3.7;12;-2.4;-2.5;-2;;;;;;;;;1229.1;111;;;100853;99;;;;;;;;;;;;
SMA;01.01.1932 00:00;7.8;4.4;12.4;-2;-1.8;-1.6;;;;;;;;;991.1;89;;;96274;95;;;;;;;;;;;;
SMA;01.01.1933 00:00;7.6;4.1;12;-2.2;-2.1;-2;;;;;;;;;1029.7;93;;;100870;99;;;;;;;;;;;;
SMA;01.01.1934 00:00;8.9;5.2;13.8;-0.9;-1;-0.2;;;;;;;;;966.3;87;;;110013;108;;;;;;;;;;;;
SMA;01.01.1935 00:00;8.2;4.6;12.6;-1.6;-1.6;-1.4;;;;;;;;;1196.7;108;;;104598;103;;;;;;;;;;;;
SMA;01.01.1936 00:00;8.4;5.3;12.6;-1.4;-0.9;-1.4;;;;;;;;;1249.4;113;;;89006;88;;;;;;;;;;;;
SMA;01.01.1937 00:00;8.6;5.3;12.9;-1.2;-0.9;-1.1;;;;;;;;;1063.5;96;;;88613;87;;;;;;;;;;;;
SMA;01.01.1938 00:00;8.2;4.5;13;-1.6;-1.7;-1;;;;;;;;;1046.1;94;;;108970;107;;;;;;;;;;;;
SMA;01.01.1939 00:00;7.9;4.9;11.6;-1.9;-1.3;-2.4;;;;;;;;;1358.4;123;;;79515;78;;;;;;;;;;;;
SMA;01.01.1940 00:00;7.1;3.7;11.3;-2.7;-2.5;-2.7;;;;;;;;;1370.3;124;;;92811;91;;;;;;;;;;;;
SMA;01.01.1941 00:00;7.4;4;11.6;-2.4;-2.2;-2.4;;;;;;;;;1006.3;91;;;95281;94;;;;;;;;;;;;
SMA;01.01.1942 00:00;7.9;4.4;12.2;-1.9;-1.8;-1.8;;;;;;;;;926.3;84;;;103428;102;;;;;;;;;;;;
SMA;01.01.1943 00:00;9.2;5.4;13.8;-0.6;-0.8;-0.2;;;;;;;;;763.1;69;;;108512;107;;;;;;;;;;;;
SMA;01.01.1944 00:00;8.2;4.7;12.1;-1.6;-1.5;-1.9;;;;;;;;;1087.2;98;;;88798;87;;;;;;;;;;;;
SMA;01.01.1945 00:00;9;5.1;13.4;-0.8;-1.1;-0.6;;;;;;;;;1012.1;91;;;111474;110;;;;;;;;;;;;
SMA;01.01.1946 00:00;8.6;5.1;12.8;-1.2;-1.1;-1.2;;;;;;;;;1094.8;99;;;98966;97;;;;;;;;;;;;
SMA;01.01.1947 00:00;9.4;5.3;14.2;-0.4;-0.9;0.2;;;;;;;;;874.8;79;;;113357;112;;;;;;;;;;;;
